lon,lat,area,region
-124.5,42.5,2269,WESTERN_USA
-124.5,43.0,2002,WESTERN_USA
-124.5,48.0,1636,WESTERN_USA
-124.0,40.0,2359,WESTERN_USA
-124.0,40.5,2341,WESTERN_USA
-124.0,41.0,2324,WESTERN_USA
-124.0,41.5,2306,WESTERN_USA
-124.0,42.0,2288,WESTERN_USA
-124.0,42.5,2269,WESTERN_USA
-124.0,43.0,2251,WESTERN_USA
-124.0,43.5,2233,WESTERN_USA
-124.0,44.0,2214,WESTERN_USA
-124.0,44.5,2195,WESTERN_USA
-124.0,45.0,2176,WESTERN_USA
-124.0,45.5,2157,WESTERN_USA
-124.0,46.0,1971,WESTERN_USA
-124.0,46.5,2118,WESTERN_USA
-124.0,47.0,2098,WESTERN_USA
-124.0,47.5,2078,WESTERN_USA
-123.5,39.0,2393,WESTERN_USA
-123.5,39.5,2376,WESTERN_USA
-123.5,40.0,2359,WESTERN_USA
-123.5,40.5,2341,WESTERN_USA
-123.5,41.0,2324,WESTERN_USA
-123.5,41.5,2306,WESTERN_USA
-123.5,42.0,2288,WESTERN_USA
-123.5,42.5,2269,WESTERN_USA
-123.5,43.0,2251,WESTERN_USA
-123.5,43.5,2233,WESTERN_USA
-123.5,44.0,2214,WESTERN_USA
-123.5,44.5,2195,WESTERN_USA
-123.5,45.0,2176,WESTERN_USA
-123.5,45.5,2157,WESTERN_USA
-123.5,46.0,2137,WESTERN_USA
-123.5,46.5,2118,WESTERN_USA
-123.5,47.0,2098,WESTERN_USA
-123.5,47.5,2078,WESTERN_USA
-123.5,48.0,1167,WESTERN_USA
-123.0,38.5,2410,WESTERN_USA
-123.0,39.5,2376,WESTERN_USA
-123.0,40.0,2359,WESTERN_USA
-123.0,40.5,2341,WESTERN_USA
-123.0,41.0,2324,WESTERN_USA
-123.0,41.5,2306,WESTERN_USA
-123.0,42.0,2288,WESTERN_USA
-123.0,42.5,2269,WESTERN_USA
-123.0,43.0,2251,WESTERN_USA
-123.0,43.5,2233,WESTERN_USA
-123.0,44.0,2214,WESTERN_USA
-123.0,44.5,2195,WESTERN_USA
-123.0,45.0,2176,WESTERN_USA
-123.0,45.5,2157,WESTERN_USA
-123.0,46.0,2137,WESTERN_USA
-123.0,46.5,2118,WESTERN_USA
-123.0,47.0,2098,WESTERN_USA
-123.0,47.5,2078,WESTERN_USA
-123.0,48.0,1189,WESTERN_USA
-123.0,48.5,1328,WESTERN_USA
-122.5,38.0,2211,WESTERN_USA
-122.5,41.5,2306,WESTERN_USA
-122.5,42.0,2288,WESTERN_USA
-122.5,42.5,2269,WESTERN_USA
-122.5,43.0,2251,WESTERN_USA
-122.5,43.5,2233,WESTERN_USA
-122.5,44.0,2214,WESTERN_USA
-122.5,44.5,2195,WESTERN_USA
