lon,lat,varname,area,year,total,max,avg,min,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,region
-124.5,42.5, T2M ,2269,-999,51.49,13.65,12.87,11.87,,,,,,11.92,12.99,13.31,13.27,,,,WESTERN_USA
-124.5,43.0, T2M ,2002,-999,58.05,15.32,14.51,13.59,,,,,,13.69,14.76,15.01,14.59,,,,WESTERN_USA
-124.5,48.0, T2M ,1636,-999,54.99,14.74,13.75,12.58,,,,,,12.72,14.17,14.55,13.56,,,,WESTERN_USA
-124.0,40.0, T2M ,2359,-999,64.91,17.33,16.23,14.85,,,,,,14.93,16.97,16.99,16.02,,,,WESTERN_USA
-124.0,40.5, T2M ,2341,-999,63.53,17.36,15.88,14.01,,,,,,14.18,16.77,16.89,15.7,,,,WESTERN_USA
-124.0,41.0, T2M ,2324,-999,57.92,15.51,14.48,13.1,,,,,,13.21,15.02,15.2,14.49,,,,WESTERN_USA
-124.0,41.5, T2M ,2306,-999,60.19,16.27,15.05,13.48,,,,,,13.63,15.85,15.81,14.89,,,,WESTERN_USA
-124.0,42.0, T2M ,2288,-999,71.53,20.0,17.88,15.48,,,,,,15.74,19.48,19.24,17.07,,,,WESTERN_USA
-124.0,42.5, T2M ,2269,-999,67.31,18.98,16.83,14.34,,,,,,14.69,18.41,18.26,15.95,,,,WESTERN_USA
-124.0,43.0, T2M ,2251,-999,63.72,17.37,15.93,14.1,,,,,,14.27,16.87,17.03,15.55,,,,WESTERN_USA
-124.0,43.5, T2M ,2233,-999,64.99,17.44,16.25,14.66,,,,,,14.73,16.94,17.25,16.08,,,,WESTERN_USA
-124.0,44.0, T2M ,2214,-999,62.6,16.67,15.65,14.34,,,,,,14.45,16.25,16.44,15.46,,,,WESTERN_USA
-124.0,44.5, T2M ,2195,-999,55.01,14.56,13.75,12.69,,,,,,12.8,14.13,14.25,13.82,,,,WESTERN_USA
-124.0,45.0, T2M ,2176,-999,55.92,14.86,13.98,12.82,,,,,,12.9,14.37,14.6,14.04,,,,WESTERN_USA
-124.0,45.5, T2M ,2157,-999,57.16,15.24,14.29,13.03,,,,,,13.08,14.64,15.02,14.41,,,,WESTERN_USA
-124.0,46.0, T2M ,1971,-999,57.12,15.19,14.28,13.11,,,,,,13.16,14.56,14.98,14.42,,,,WESTERN_USA
-124.0,46.5, T2M ,2118,-999,57.08,15.19,14.27,13.09,,,,,,13.16,14.6,15.0,14.32,,,,WESTERN_USA
-124.0,47.0, T2M ,2098,-999,60.79,16.24,15.2,13.98,,,,,,14.14,15.69,16.05,14.91,,,,WESTERN_USA
-124.0,47.5, T2M ,2078,-999,55.96,15.36,13.99,12.47,,,,,,12.82,14.8,15.06,13.28,,,,WESTERN_USA
-123.5,39.0, T2M ,2393,-999,67.01,17.77,16.75,15.49,,,,,,15.64,17.34,17.36,16.66,,,,WESTERN_USA
-123.5,39.5, T2M ,2376,-999,74.87,20.31,18.72,16.91,,,,,,17.2,19.92,19.62,18.13,,,,WESTERN_USA
-123.5,40.0, T2M ,2359,-999,79.46,22.29,19.87,17.29,,,,,,17.9,21.9,21.25,18.42,,,,WESTERN_USA
-123.5,40.5, T2M ,2341,-999,71.49,20.36,17.87,15.08,,,,,,15.66,19.82,19.38,16.62,,,,WESTERN_USA
-123.5,41.0, T2M ,2324,-999,73.07,20.89,18.27,15.39,,,,,,16.0,20.33,19.85,16.89,,,,WESTERN_USA
-123.5,41.5, T2M ,2306,-999,73.09,21.03,18.27,15.31,,,,,,15.95,20.53,19.95,16.65,,,,WESTERN_USA
-123.5,42.0, T2M ,2288,-999,69.28,20.0,17.32,14.42,,,,,,15.07,19.46,19.03,15.72,,,,WESTERN_USA
-123.5,42.5, T2M ,2269,-999,73.86,21.01,18.46,15.63,,,,,,16.26,20.4,20.21,16.99,,,,WESTERN_USA
-123.5,43.0, T2M ,2251,-999,68.09,18.98,17.02,14.73,,,,,,15.13,18.38,18.44,16.14,,,,WESTERN_USA
-123.5,43.5, T2M ,2233,-999,69.62,19.25,17.41,15.25,,,,,,15.58,18.71,18.81,16.52,,,,WESTERN_USA
-123.5,44.0, T2M ,2214,-999,68.6,18.91,17.15,15.08,,,,,,15.39,18.39,18.5,16.32,,,,WESTERN_USA
-123.5,44.5, T2M ,2195,-999,67.04,18.5,16.76,14.7,,,,,,14.99,17.94,18.16,15.95,,,,WESTERN_USA
-123.5,45.0, T2M ,2176,-999,65.44,18.03,16.36,14.38,,,,,,14.69,17.44,17.73,15.58,,,,WESTERN_USA
-123.5,45.5, T2M ,2157,-999,62.03,17.26,15.51,13.42,,,,,,13.7,16.43,16.95,14.95,,,,WESTERN_USA
-123.5,46.0, T2M ,2137,-999,60.03,16.43,15.01,13.35,,,,,,13.56,15.66,16.18,14.64,,,,WESTERN_USA
-123.5,46.5, T2M ,2118,-999,59.74,16.41,14.93,13.27,,,,,,13.55,15.74,16.17,14.28,,,,WESTERN_USA
-123.5,47.0, T2M ,2098,-999,62.03,16.97,15.51,13.9,,,,,,14.26,16.36,16.68,14.73,,,,WESTERN_USA
-123.5,47.5, T2M ,2078,-999,55.2,15.78,13.8,11.59,,,,,,12.16,15.09,15.34,12.62,,,,WESTERN_USA
-123.5,48.0, T2M ,1167,-999,50.01,14.25,12.5,10.52,,,,,,10.91,13.52,13.9,11.67,,,,WESTERN_USA
-123.0,38.5, T2M ,2410,-999,74.79,19.68,18.7,17.61,,,,,,18.13,19.29,19.14,18.23,,,,WESTERN_USA
-123.0,39.5, T2M ,2376,-999,81.54,22.83,20.38,17.7,,,,,,18.4,22.44,21.82,18.87,,,,WESTERN_USA
-123.0,40.0, T2M ,2359,-999,79.64,22.64,19.91,16.97,,,,,,17.78,22.24,21.51,18.11,,,,WESTERN_USA
-123.0,40.5, T2M ,2341,-999,84.71,24.03,21.18,18.09,,,,,,18.93,23.61,22.86,19.31,,,,WESTERN_USA
-123.0,41.0, T2M ,2324,-999,74.6,21.56,18.65,15.53,,,,,,16.29,21.09,20.44,16.78,,,,WESTERN_USA
-123.0,41.5, T2M ,2306,-999,70.77,20.69,17.69,14.53,,,,,,15.45,20.22,19.51,15.6,,,,WESTERN_USA
-123.0,42.0, T2M ,2288,-999,67.82,19.75,16.95,13.89,,,,,,14.6,19.11,18.79,15.32,,,,WESTERN_USA
-123.0,42.5, T2M ,2269,-999,76.1,21.58,19.02,16.22,,,,,,17.14,21.08,20.72,17.15,,,,WESTERN_USA
-123.0,43.0, T2M ,2251,-999,68.76,19.56,17.19,14.53,,,,,,15.14,18.94,18.88,15.79,,,,WESTERN_USA
