-124.5,42.5, MXCOHRTS ,2269,-111,1,1, WEST
-124.5,43, MXCOHRTS ,2002,-111,1,1, WEST
-124.5,48, MXCOHRTS ,1636,-111,1,1, WEST
-124,40, MXCOHRTS ,2359,-111,1,1, WEST
-124,40.5, MXCOHRTS ,2341,-111,1,1, WEST
-124,41, MXCOHRTS ,2324,-111,1,1, WEST
-124,41.5, MXCOHRTS ,2306,-111,1,1, WEST
-124,42, MXCOHRTS ,2288,-111,1,1, WEST
-124,42.5, MXCOHRTS ,2269,-111,1,1, WEST
-124,43, MXCOHRTS ,2251,-111,1,1, WEST
-124,43.5, MXCOHRTS ,2233,-111,1,1, WEST
-124,44, MXCOHRTS ,2214,-111,1,1, WEST
-124,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-124,45, MXCOHRTS ,2176,-111,1,1, WEST
-124,45.5, MXCOHRTS ,2157,-111,1,1, WEST
-124,46, MXCOHRTS ,1971,-111,1,1, WEST
-124,46.5, MXCOHRTS ,2118,-111,1,1, WEST
-124,47, MXCOHRTS ,2098,-111,1,1, WEST
-124,47.5, MXCOHRTS ,2078,-111,1,1, WEST
-123.5,39, MXCOHRTS ,2393,-111,1,1, WEST
-123.5,39.5, MXCOHRTS ,2376,-111,1,1, WEST
-123.5,40, MXCOHRTS ,2359,-111,1,1, WEST
-123.5,40.5, MXCOHRTS ,2341,-111,1,1, WEST
-123.5,41, MXCOHRTS ,2324,-111,1,1, WEST
-123.5,41.5, MXCOHRTS ,2306,-111,1,1, WEST
-123.5,42, MXCOHRTS ,2288,-111,1,1, WEST
-123.5,42.5, MXCOHRTS ,2269,-111,1,1, WEST
-123.5,43, MXCOHRTS ,2251,-111,1,1, WEST
-123.5,43.5, MXCOHRTS ,2233,-111,1,1, WEST
-123.5,44, MXCOHRTS ,2214,-111,1,1, WEST
-123.5,44.5, MXCOHRTS ,2195,-111,1,1, WEST
-123.5,45, MXCOHRTS ,2176,-111,1,1, WEST
-123.5,45.5, MXCOHRTS ,2157,-111,1,1, WEST
-123.5,46, MXCOHRTS ,2137,-111,1,1, WEST
-123.5,46.5, MXCOHRTS ,2118,-111,1,1, WEST
-123.5,47, MXCOHRTS ,2098,-111,1,1, WEST
-123.5,47.5, MXCOHRTS ,2078,-111,1,1, WEST
-123.5,48, MXCOHRTS ,1167,-111,1,1, WEST
-123,38.5, MXCOHRTS ,2410,-111,1,1, WEST
-123,39.5, MXCOHRTS ,2376,-111,1,1, WEST
-123,40, MXCOHRTS ,2359,-111,1,1, WEST
