-124.5000,42.5000, ELEV ,2269,354.6, WEST
-124.5000,43.0000, ELEV ,2002,101.1, WEST
-124.5000,48.0000, ELEV ,1636,227.1, WEST
-124.0000,40.0000, ELEV ,2359,530.6, WEST
-124.0000,40.5000, ELEV ,2341,738.9, WEST
-124.0000,41.0000, ELEV ,2324,638.8, WEST
-124.0000,41.5000, ELEV ,2306,908.3, WEST
-124.0000,42.0000, ELEV ,2288,744.2, WEST
-124.0000,42.5000, ELEV ,2269,687.5, WEST
-124.0000,43.0000, ELEV ,2251,411.8, WEST
-124.0000,43.5000, ELEV ,2233,252.5, WEST
-124.0000,44.0000, ELEV ,2214,287.7, WEST
-124.0000,44.5000, ELEV ,2195,307.9, WEST
-124.0000,45.0000, ELEV ,2176,271.3, WEST
-124.0000,45.5000, ELEV ,2157,296.9, WEST
-124.0000,46.0000, ELEV ,1971,143.3, WEST
-124.0000,46.5000, ELEV ,2118,103.8, WEST
-124.0000,47.0000, ELEV ,2098,214.1, WEST
-124.0000,47.5000, ELEV ,2078,874.6, WEST
-123.5000,39.0000, ELEV ,2393,517.2, WEST
-123.5000,39.5000, ELEV ,2376,799.8, WEST
-123.5000,40.0000, ELEV ,2359,1130.8, WEST
-123.5000,40.5000, ELEV ,2341,1044.7, WEST
-123.5000,41.0000, ELEV ,2324,1238.6, WEST
-123.5000,41.5000, ELEV ,2306,1153.0, WEST
-123.5000,42.0000, ELEV ,2288,802.7, WEST
-123.5000,42.5000, ELEV ,2269,652.0, WEST
-123.5000,43.0000, ELEV ,2251,359.6, WEST
-123.5000,43.5000, ELEV ,2233,311.8, WEST
-123.5000,44.0000, ELEV ,2214,160.6, WEST
-123.5000,44.5000, ELEV ,2195,142.4, WEST
-123.5000,45.0000, ELEV ,2176,194.5, WEST
-123.5000,45.5000, ELEV ,2157,349.0, WEST
-123.5000,46.0000, ELEV ,2137,279.6, WEST
-123.5000,46.5000, ELEV ,2118,186.8, WEST
-123.5000,47.0000, ELEV ,2098,206.2, WEST
-123.5000,47.5000, ELEV ,2078,1082.3, WEST
-123.5000,48.0000, ELEV ,1167,164.9, WEST
-123.0000,38.5000, ELEV ,2410,430.7, WEST
-123.0000,39.5000, ELEV ,2376,1034.1, WEST
-123.0000,40.0000, ELEV ,2359,788.8, WEST
-123.0000,40.5000, ELEV ,2341,997.8, WEST
-123.0000,41.0000, ELEV ,2324,1530.9, WEST
-123.0000,41.5000, ELEV ,2306,1082.9, WEST
-123.0000,42.0000, ELEV ,2288,945.5, WEST
-123.0000,42.5000, ELEV ,2269,849.1, WEST
-123.0000,43.0000, ELEV ,2251,892.3, WEST
-123.0000,43.5000, ELEV ,2233,679.1, WEST
-123.0000,44.0000, ELEV ,2214,436.3, WEST
-123.0000,44.5000, ELEV ,2195,304.2, WEST
-123.0000,45.0000, ELEV ,2176,98.1, WEST
-123.0000,45.5000, ELEV ,2157,118.1, WEST
-123.0000,46.0000, ELEV ,2137,257.1, WEST
-123.0000,46.5000, ELEV ,2118,189.9, WEST
-123.0000,47.0000, ELEV ,2098,63.0, WEST
-123.0000,47.5000, ELEV ,2078,142.7, WEST
-123.0000,48.0000, ELEV ,1189,60.6, WEST
-123.0000,48.5000, ELEV ,1328,77.9, WEST
-122.5000,38.0000, ELEV ,2211,141.6, WEST
-122.5000,41.5000, ELEV ,2306,1291.8, WEST
-122.5000,42.0000, ELEV ,2288,1435.6, WEST
-122.5000,42.5000, ELEV ,2269,1507.5, WEST
-122.5000,43.0000, ELEV ,2251,1517.4, WEST
-122.5000,43.5000, ELEV ,2233,1180.0, WEST
-122.5000,44.0000, ELEV ,2214,906.3, WEST
-122.5000,44.5000, ELEV ,2195,905.2, WEST
-122.5000,45.0000, ELEV ,2176,550.9, WEST
-122.5000,45.5000, ELEV ,2157,458.6, WEST
-122.5000,46.0000, ELEV ,2137,787.6, WEST
-122.5000,46.5000, ELEV ,2118,559.9, WEST
-122.5000,47.0000, ELEV ,2098,141.8, WEST
-122.5000,47.5000, ELEV ,2078,82.6, WEST
-122.5000,48.0000, ELEV ,2058,144.8, WEST
-122.5000,48.5000, ELEV ,2038,315.4, WEST
-122.0000,36.5000, ELEV ,2201,130.9, WEST
-122.0000,40.0000, ELEV ,2359,1035.8, WEST
-122.0000,40.5000, ELEV ,2341,1226.2, WEST
-122.0000,41.0000, ELEV ,2324,1292.2, WEST
-122.0000,42.5000, ELEV ,2269,1449.8, WEST
-122.0000,43.0000, ELEV ,2251,1535.0, WEST
-122.0000,43.5000, ELEV ,2233,1495.6, WEST
-122.0000,44.0000, ELEV ,2214,1458.2, WEST
-122.0000,44.5000, ELEV ,2195,1242.5, WEST
-122.0000,45.0000, ELEV ,2176,1144.3, WEST
-122.0000,45.5000, ELEV ,2157,661.7, WEST
-122.0000,46.0000, ELEV ,2137,1100.9, WEST
-122.0000,46.5000, ELEV ,2118,1234.4, WEST
-122.0000,47.0000, ELEV ,2098,761.5, WEST
-122.0000,47.5000, ELEV ,2078,491.8, WEST
-122.0000,48.0000, ELEV ,2058,637.3, WEST
-122.0000,48.5000, ELEV ,2038,1004.4, WEST
-121.5000,36.0000, ELEV ,2492,421.1, WEST
-121.5000,39.0000, ELEV ,2393,404.1, WEST
-121.5000,39.5000, ELEV ,2376,1140.1, WEST
-121.5000,40.0000, ELEV ,2359,1646.1, WEST
-121.5000,40.5000, ELEV ,2341,1612.6, WEST
-121.5000,41.0000, ELEV ,2324,1319.4, WEST
-121.5000,42.5000, ELEV ,2269,1608.2, WEST
-121.5000,43.0000, ELEV ,2251,1522.4, WEST
-121.5000,43.5000, ELEV ,2233,1507.8, WEST
-121.5000,46.0000, ELEV ,2137,1213.7, WEST
-121.5000,46.5000, ELEV ,2118,1407.9, WEST
-121.5000,47.0000, ELEV ,2098,1160.9, WEST
-121.5000,47.5000, ELEV ,2078,1214.3, WEST
-121.5000,48.5000, ELEV ,2038,1201.8, WEST
-121.0000,35.5000, ELEV ,2508,368.0, WEST
-121.0000,36.0000, ELEV ,2492,679.0, WEST
-121.0000,38.0000, ELEV ,2427,387.1, WEST
-121.0000,38.5000, ELEV ,2410,750.4, WEST
-121.0000,39.0000, ELEV ,2393,1276.6, WEST
-121.0000,39.5000, ELEV ,2376,1666.1, WEST
-121.0000,40.0000, ELEV ,2359,1618.8, WEST
-121.0000,42.0000, ELEV ,2288,1692.6, WEST
-121.0000,42.5000, ELEV ,2269,1695.0, WEST
-121.0000,47.0000, ELEV ,2098,1073.8, WEST
-121.0000,47.5000, ELEV ,2078,1163.5, WEST
-120.5000,34.5000, ELEV ,2539,322.5, WEST
-120.5000,35.0000, ELEV ,2524,552.2, WEST
-120.5000,37.5000, ELEV ,2444,586.9, WEST
-120.5000,38.0000, ELEV ,2427,1343.4, WEST
-120.5000,38.5000, ELEV ,2410,1935.1, WEST
-120.5000,39.0000, ELEV ,2393,2014.1, WEST
-120.5000,39.5000, ELEV ,2376,1768.7, WEST
-120.5000,44.0000, ELEV ,2214,1431.4, WEST
-120.5000,47.5000, ELEV ,2078,865.8, WEST
-120.5000,48.0000, ELEV ,2058,1185.8, WEST
-120.5000,48.5000, ELEV ,2038,1594.5, WEST
-120.0000,37.0000, ELEV ,2460,639.2, WEST
-120.0000,37.5000, ELEV ,2444,1696.1, WEST
-120.0000,38.0000, ELEV ,2427,2479.8, WEST
-120.0000,38.5000, ELEV ,2410,2099.6, WEST
-120.0000,48.5000, ELEV ,2038,1204.7, WEST
-119.5000,36.0000, ELEV ,2492,111.6, WEST
-119.5000,36.5000, ELEV ,2476,556.5, WEST
-119.5000,37.0000, ELEV ,2460,1902.7, WEST
-119.5000,37.5000, ELEV ,2444,2731.1, WEST
-119.5000,43.5000, ELEV ,2233,1498.1, WEST
-119.5000,44.0000, ELEV ,2214,1423.4, WEST
-119.5000,44.5000, ELEV ,2195,1202.8, WEST
-119.0000,35.5000, ELEV ,2508,936.2, WEST
-119.0000,36.0000, ELEV ,2492,1406.5, WEST
-119.0000,36.5000, ELEV ,2476,2251.4, WEST
-119.0000,37.0000, ELEV ,2460,2947.4, WEST
-119.0000,44.0000, ELEV ,2214,1558.8, WEST
-119.0000,44.5000, ELEV ,2195,1511.6, WEST
-119.0000,45.0000, ELEV ,2176,1226.4, WEST
-119.0000,48.0000, ELEV ,2058,935.4, WEST
-119.0000,48.5000, ELEV ,2038,1100.1, WEST
-118.5000,36.0000, ELEV ,2492,2400.5, WEST
-118.5000,44.5000, ELEV ,2195,1627.4, WEST
-118.5000,45.0000, ELEV ,2176,1329.0, WEST
-118.5000,48.0000, ELEV ,2058,834.4, WEST
-118.5000,48.5000, ELEV ,2038,1054.9, WEST
-118.0000,45.0000, ELEV ,2176,1340.8, WEST
-118.0000,45.5000, ELEV ,2157,1144.6, WEST
-118.0000,46.0000, ELEV ,2137,1069.2, WEST
-118.0000,48.0000, ELEV ,2058,853.4, WEST
-118.0000,48.5000, ELEV ,2038,929.8, WEST
-117.5000,45.0000, ELEV ,2176,1818.4, WEST
-117.5000,45.5000, ELEV ,2157,1215.6, WEST
-117.5000,47.5000, ELEV ,2078,744.8, WEST
-117.5000,48.0000, ELEV ,2058,861.5, WEST
-117.5000,48.5000, ELEV ,2038,1190.2, WEST
-117.0000,34.0000, ELEV ,2555,1551.6, WEST
-117.0000,45.0000, ELEV ,2176,1499.4, WEST
-117.0000,47.0000, ELEV ,2098,909.9, WEST
-117.0000,47.5000, ELEV ,2078,855.4, WEST
-117.0000,48.0000, ELEV ,2058,899.3, WEST
-117.0000,48.5000, ELEV ,2038,1344.1, WEST
-116.5000,44.5000, ELEV ,2195,1477.2, WEST
-116.5000,45.0000, ELEV ,2176,1640.4, WEST
-116.5000,45.5000, ELEV ,2157,1204.3, WEST
-116.5000,46.5000, ELEV ,2118,956.3, WEST
-116.5000,47.0000, ELEV ,2098,1152.2, WEST
-116.5000,47.5000, ELEV ,2078,1080.9, WEST
-116.5000,48.0000, ELEV ,2058,1087.9, WEST
-116.5000,48.5000, ELEV ,2038,1063.8, WEST
-116.0000,43.5000, ELEV ,2233,1533.6, WEST
-116.0000,44.0000, ELEV ,2214,1727.6, WEST
-116.0000,44.5000, ELEV ,2195,1970.2, WEST
-116.0000,45.0000, ELEV ,2176,1843.9, WEST
-116.0000,45.5000, ELEV ,2157,1666.9, WEST
-116.0000,46.0000, ELEV ,2137,1060.0, WEST
-116.0000,46.5000, ELEV ,2118,1137.0, WEST
-116.0000,47.0000, ELEV ,2098,1397.1, WEST
-116.0000,47.5000, ELEV ,2078,1234.5, WEST
-116.0000,48.0000, ELEV ,2058,1220.4, WEST
-116.0000,48.5000, ELEV ,2038,1341.1, WEST
-115.5000,43.5000, ELEV ,2233,2043.3, WEST
-115.5000,44.0000, ELEV ,2214,2187.6, WEST
-115.5000,44.5000, ELEV ,2195,2181.1, WEST
-115.5000,45.0000, ELEV ,2176,2023.4, WEST
-115.5000,45.5000, ELEV ,2157,1678.4, WEST
-115.5000,46.0000, ELEV ,2137,1457.3, WEST
-115.5000,46.5000, ELEV ,2118,1457.5, WEST
-115.5000,47.0000, ELEV ,2098,1453.0, WEST
-115.5000,47.5000, ELEV ,2078,1301.8, WEST
-115.5000,48.0000, ELEV ,2058,1203.6, WEST
-115.5000,48.5000, ELEV ,2038,1300.4, WEST
-115.0000,43.5000, ELEV ,2233,2397.2, WEST
-115.0000,44.0000, ELEV ,2214,2421.4, WEST
-115.0000,44.5000, ELEV ,2195,2161.5, WEST
-115.0000,45.0000, ELEV ,2176,1969.6, WEST
-115.0000,45.5000, ELEV ,2157,1852.2, WEST
-115.0000,46.0000, ELEV ,2137,1680.0, WEST
-115.0000,46.5000, ELEV ,2118,1619.4, WEST
-115.0000,47.0000, ELEV ,2098,1303.6, WEST
-115.0000,47.5000, ELEV ,2078,1259.5, WEST
-115.0000,48.0000, ELEV ,2058,1359.5, WEST
-115.0000,48.5000, ELEV ,2038,1493.3, WEST
-114.5000,44.5000, ELEV ,2195,2123.5, WEST
-114.5000,45.0000, ELEV ,2176,2014.6, WEST
-114.5000,45.5000, ELEV ,2157,1955.8, WEST
-114.5000,46.0000, ELEV ,2137,1673.9, WEST
-114.5000,46.5000, ELEV ,2118,1499.3, WEST
-114.5000,48.5000, ELEV ,2038,1498.7, WEST
-114.0000,44.0000, ELEV ,2214,2354.6, WEST
-114.0000,45.5000, ELEV ,2157,2005.4, WEST
-114.0000,46.0000, ELEV ,2137,1961.2, WEST
-114.0000,46.5000, ELEV ,2118,1515.9, WEST
-114.0000,47.0000, ELEV ,2098,1696.7, WEST
-114.0000,47.5000, ELEV ,2078,1614.3, WEST
-114.0000,48.0000, ELEV ,2058,1531.7, WEST
-114.0000,48.5000, ELEV ,2038,1789.9, WEST
-113.5000,44.5000, ELEV ,2195,2245.8, WEST
-113.5000,45.0000, ELEV ,2176,2192.9, WEST
-113.5000,45.5000, ELEV ,2157,2167.9, WEST
-113.5000,46.0000, ELEV ,2137,2106.5, WEST
-113.5000,47.0000, ELEV ,2098,1757.3, WEST
-113.5000,47.5000, ELEV ,2078,1884.1, WEST
-113.5000,48.0000, ELEV ,2058,1780.3, WEST
-113.0000,34.5000, ELEV ,2539,1543.2, WEST
-113.0000,37.5000, ELEV ,2444,2429.7, WEST
-113.0000,44.5000, ELEV ,2195,2193.9, WEST
-113.0000,45.5000, ELEV ,2157,2058.0, WEST
-113.0000,46.0000, ELEV ,2137,1780.5, WEST
-113.0000,47.0000, ELEV ,2098,1899.2, WEST
-113.0000,47.5000, ELEV ,2078,1763.2, WEST
-112.5000,34.0000, ELEV ,2555,1294.6, WEST
-112.5000,34.5000, ELEV ,2539,1502.7, WEST
-112.5000,38.5000, ELEV ,2410,2088.7, WEST
-112.5000,44.5000, ELEV ,2195,2238.6, WEST
-112.5000,45.5000, ELEV ,2157,1829.3, WEST
-112.5000,46.0000, ELEV ,2137,1961.1, WEST
-112.5000,46.5000, ELEV ,2118,1589.7, WEST
-112.0000,33.5000, ELEV ,2570,732.1, WEST
-112.0000,34.0000, ELEV ,2555,1295.3, WEST
-112.0000,34.5000, ELEV ,2539,1544.5, WEST
-112.0000,35.0000, ELEV ,2524,2232.2, WEST
-112.0000,40.0000, ELEV ,2359,1687.6, WEST
-112.0000,40.5000, ELEV ,2341,1939.3, WEST
-112.0000,41.0000, ELEV ,2324,1957.2, WEST
-112.0000,41.5000, ELEV ,2306,1858.3, WEST
-112.0000,45.0000, ELEV ,2176,2023.9, WEST
-111.5000,33.5000, ELEV ,2570,1106.9, WEST
-111.5000,34.0000, ELEV ,2555,1644.4, WEST
-111.5000,34.5000, ELEV ,2539,2059.7, WEST
-111.5000,39.0000, ELEV ,2393,2469.6, WEST
-111.5000,39.5000, ELEV ,2376,2411.2, WEST
-111.5000,40.0000, ELEV ,2359,2380.9, WEST
-111.5000,40.5000, ELEV ,2341,2298.4, WEST
-111.5000,42.5000, ELEV ,2269,2139.1, WEST
-111.5000,43.0000, ELEV ,2251,2071.6, WEST
-111.5000,44.0000, ELEV ,2214,1973.1, WEST
-111.5000,44.5000, ELEV ,2195,2311.5, WEST
-111.5000,45.0000, ELEV ,2176,2401.9, WEST
-111.5000,46.5000, ELEV ,2118,1678.4, WEST
-111.0000,31.5000, ELEV ,2628,1349.1, WEST
-111.0000,33.0000, ELEV ,2585,1108.6, WEST
-111.0000,33.5000, ELEV ,2570,1362.9, WEST
-111.0000,34.0000, ELEV ,2555,1979.8, WEST
-111.0000,40.5000, ELEV ,2341,3022.1, WEST
-111.0000,42.0000, ELEV ,2288,2390.3, WEST
-111.0000,42.5000, ELEV ,2269,2515.6, WEST
-111.0000,43.0000, ELEV ,2251,2340.8, WEST
-111.0000,44.0000, ELEV ,2214,2414.4, WEST
-111.0000,44.5000, ELEV ,2195,2409.4, WEST
-111.0000,45.0000, ELEV ,2176,2180.2, WEST
-111.0000,45.5000, ELEV ,2157,1789.0, WEST
-111.0000,46.5000, ELEV ,2118,1948.1, WEST
-110.5000,32.5000, ELEV ,2599,1407.6, WEST
-110.5000,33.5000, ELEV ,2570,1633.3, WEST
-110.5000,34.0000, ELEV ,2555,1906.3, WEST
-110.5000,40.5000, ELEV ,2341,3027.6, WEST
-110.5000,43.0000, ELEV ,2251,2531.6, WEST
-110.5000,43.5000, ELEV ,2233,2596.0, WEST
-110.5000,44.0000, ELEV ,2214,2593.1, WEST
-110.5000,44.5000, ELEV ,2195,2465.2, WEST
-110.5000,45.0000, ELEV ,2176,2618.8, WEST
-110.5000,46.0000, ELEV ,2137,1865.7, WEST
-110.5000,46.5000, ELEV ,2118,1777.9, WEST
-110.0000,33.0000, ELEV ,2585,1647.4, WEST
-110.0000,33.5000, ELEV ,2570,2204.3, WEST
-110.0000,37.5000, ELEV ,2444,2133.0, WEST
-110.0000,40.5000, ELEV ,2341,2560.0, WEST
-110.0000,43.0000, ELEV ,2251,3031.5, WEST
-110.0000,43.5000, ELEV ,2233,2774.5, WEST
-110.0000,44.0000, ELEV ,2214,2746.3, WEST
-110.0000,44.5000, ELEV ,2195,2662.7, WEST
-110.0000,45.0000, ELEV ,2176,2483.5, WEST
-109.5000,31.5000, ELEV ,2628,1641.2, WEST
-109.5000,33.0000, ELEV ,2585,1687.2, WEST
-109.5000,33.5000, ELEV ,2570,2440.1, WEST
-109.5000,42.5000, ELEV ,2269,2880.9, WEST
-109.5000,43.5000, ELEV ,2233,2787.3, WEST
-109.5000,45.5000, ELEV ,2157,1269.2, WEST
-109.5000,46.5000, ELEV ,2118,1577.4, WEST
-109.0000,33.5000, ELEV ,2570,2203.4, WEST
-109.0000,39.5000, ELEV ,2376,2176.6, WEST
-109.0000,45.0000, ELEV ,2176,1405.7, WEST
-108.5000,33.0000, ELEV ,2585,2153.4, WEST
-108.5000,35.0000, ELEV ,2524,2331.5, WEST
-108.5000,37.5000, ELEV ,2444,2772.7, WEST
-108.5000,38.0000, ELEV ,2427,2391.2, WEST
-108.5000,39.5000, ELEV ,2376,2232.8, WEST
-108.5000,45.0000, ELEV ,2176,1545.3, WEST
-108.5000,46.0000, ELEV ,2137,1067.2, WEST
-108.0000,33.0000, ELEV ,2585,2169.9, WEST
-108.0000,38.0000, ELEV ,2427,2587.0, WEST
-108.0000,38.5000, ELEV ,2410,2064.8, WEST
-108.0000,39.0000, ELEV ,2393,2570.7, WEST
-108.0000,39.5000, ELEV ,2376,2342.5, WEST
-108.0000,40.0000, ELEV ,2359,2188.4, WEST
-108.0000,44.5000, ELEV ,2195,2195.8, WEST
-107.5000,37.0000, ELEV ,2460,2418.2, WEST
-107.5000,38.0000, ELEV ,2427,2925.8, WEST
-107.5000,38.5000, ELEV ,2410,2860.3, WEST
-107.5000,39.0000, ELEV ,2393,2702.9, WEST
-107.5000,39.5000, ELEV ,2376,2799.7, WEST
-107.5000,40.0000, ELEV ,2359,2552.1, WEST
-107.5000,40.5000, ELEV ,2341,2377.8, WEST
-107.5000,41.0000, ELEV ,2324,2390.8, WEST
-107.5000,44.5000, ELEV ,2195,1943.0, WEST
-107.5000,45.0000, ELEV ,2176,1240.6, WEST
-107.0000,35.5000, ELEV ,2508,2210.6, WEST
-107.0000,36.5000, ELEV ,2476,2333.2, WEST
-107.0000,37.0000, ELEV ,2460,2944.3, WEST
-107.0000,37.5000, ELEV ,2444,3186.5, WEST
-107.0000,38.0000, ELEV ,2427,2941.3, WEST
-107.0000,39.0000, ELEV ,2393,3182.3, WEST
-107.0000,40.0000, ELEV ,2359,2631.9, WEST
-107.0000,40.5000, ELEV ,2341,2721.1, WEST
-107.0000,45.0000, ELEV ,2176,1182.4, WEST
-107.0000,45.5000, ELEV ,2157,1088.4, WEST
-107.0000,46.0000, ELEV ,2137,882.5, WEST
-106.5000,36.5000, ELEV ,2476,2815.0, WEST
-106.5000,38.0000, ELEV ,2427,2869.4, WEST
-106.5000,39.5000, ELEV ,2376,2970.8, WEST
-106.5000,40.0000, ELEV ,2359,2707.5, WEST
-106.5000,41.0000, ELEV ,2324,2731.1, WEST
-106.5000,45.0000, ELEV ,2176,1134.3, WEST
-106.5000,45.5000, ELEV ,2157,973.3, WEST
-106.0000,32.5000, ELEV ,2599,2033.4, WEST
-106.0000,33.0000, ELEV ,2585,2178.5, WEST
-106.0000,35.5000, ELEV ,2508,2598.9, WEST
-106.0000,38.0000, ELEV ,2427,2636.1, WEST
-106.0000,38.5000, ELEV ,2410,2820.3, WEST
-106.0000,40.0000, ELEV ,2359,3037.1, WEST
-106.0000,40.5000, ELEV ,2341,2835.4, WEST
-106.0000,42.0000, ELEV ,2288,2280.4, WEST
-106.0000,45.0000, ELEV ,2176,1134.5, WEST
-105.5000,35.5000, ELEV ,2508,2209.4, WEST
-105.5000,36.0000, ELEV ,2492,2684.6, WEST
-105.5000,36.5000, ELEV ,2476,2877.2, WEST
-105.5000,37.0000, ELEV ,2460,2874.8, WEST
-105.5000,37.5000, ELEV ,2444,2686.4, WEST
-105.5000,38.0000, ELEV ,2427,2295.2, WEST
-105.5000,38.5000, ELEV ,2410,2612.1, WEST
-105.5000,39.0000, ELEV ,2393,2484.4, WEST
-105.5000,41.0000, ELEV ,2324,2250.5, WEST
-105.0000,32.0000, ELEV ,2614,1538.9, WEST
-105.0000,36.5000, ELEV ,2476,2166.1, WEST
-105.0000,44.0000, ELEV ,2214,1345.4, WEST
-105.0000,44.5000, ELEV ,2195,1240.9, WEST
